video_id,title,views,tags,channel_name,subscribers,search_query,thumbnail_url,duration_seconds,thumbnail_path
xC6cEc6Q4a8,"[FREE FOR PROFIT] 2hollis Type Beat - ""parasite""",6794,glaive type beat|ericdoa type beat|brakence type beat|midwxst type beat|aldn type beat|hyperpop type beat|hyperpop beat|hyper pop type beat|free glaive type beat|hyperpop type beat free for profit|pop type beat|hyperpop type beat 2025|siem spark|pop type beat 2025|dance type beat|electro pop type beat|2hollis type beat|2hollis type beat free for profit|nate sib type beat|type beat|type beat free for profit|type beat 2025|2hollis lie type beat,siem spark,28200,2hollis type beat,https://i.ytimg.com/vi/xC6cEc6Q4a8/maxresdefault.jpg,130,thumbnails\xC6cEc6Q4a8.jpg
ccpTXoJVbms,*free for profit* nate sib + 2hollis type beat - *see you again*,12492,2hollis|2hollis safety|2hollis type beat|2hollis type beat free|As Within So Without|beat|bladee type beat|club type beat|drain gang|ecco2k type beat|ericdoa type beat|free 2hollis type beat|free type beat|freestyle type beat|god type beat|hard type beat|house type beat|joalisho|mage 1|meta|midwxst type beat|pop type beat|rap beat|sad 2hollis type beat|the jarl|trap beat|type beat|type beat free|white tiger|yung lean type beat,+fiftyzeros,5670,2hollis type beat,https://i.ytimg.com/vi/ccpTXoJVbms/maxresdefault.jpg,87,thumbnails\ccpTXoJVbms.jpg
-6TT_mBdTA0,"(free!) 2hollis + star boy + gold type beat - ""away""",6235,1oneam type beat free|2hollis dance type beat|2hollis gold type beat|2hollis trauma type beat|2hollis type beat|2hollis type beat free|che type beat|dance type beat|edm type beat|free 2hollis type beat|free nate sib type beat|glo type beat|gold type beat|hard dance type beat|jeans type beat|jssr type beat|ken carson type beat|nate sib type beat|star boy 2hollis type beat|star boy type beat|starboy 2hollis type beat|trauma type beat,iledless,1290,2hollis type beat,https://i.ytimg.com/vi/-6TT_mBdTA0/maxresdefault.jpg,115,thumbnails\-6TT_mBdTA0.jpg
42nwH9679BI,"{free} 2hollis type beat x ken carson - ""2""",7968,2hollis type beat|star boy type beat|free 2hollis type beat|2hollis|2hollis type beat free|starboy type beat|hard type beat|2 hollis type beat|hard dance type beat|5ivestarz type beat|snow strippers type beat|jeans type beat|the jarl|digicore type beat|damon r type beat|ian type beat|osamason type beat|ken carson type beat|opium type beat|destroy lonely type beat|nettspend type beat|2hollis type beat star|playboi carti type beat|2hollis star|selavy,sélavy,9670,2hollis type beat,https://i.ytimg.com/vi/42nwH9679BI/maxresdefault.jpg,128,thumbnails\42nwH9679BI.jpg
XkE9DwpGjMw,"[FREE] 2hollis Type Beat - ""Mercury""",37448,2hollis type beat|free 2hollis type beat|2hollis type beat free|2hollis type beat gold|nate sib type beat|2hollis trauma type beat|2hollis type beat trauma|2hollis ken carson type beat|pop type beat|glaive type beat|2hollis x hard dance type beat|aldn type beat|midwxst type beat|rouri404 type beat|kennyhoopla type beat|2hollis type beat free for profit|poorstacy type beat|ericdoa type beat|starboy type beat|underscores type beat,Fukk2Beatz II,14700,2hollis type beat,https://i.ytimg.com/vi/XkE9DwpGjMw/maxresdefault.jpg,107,thumbnails\XkE9DwpGjMw.jpg
WG4cbpfKP2I,"*free* 2hollis + ian type beat ""4truth""",12262,,g2oflov3 ,45,2hollis type beat,https://i.ytimg.com/vi/WG4cbpfKP2I/maxresdefault.jpg,102,thumbnails\WG4cbpfKP2I.jpg
CTc3sOFcieM,"[FREE] 2hollis x Ken Carson Type Beat ""2oy"" prod. artist",3178,2hollis type beat|free 2holiis type beat|free gab3 type beat|free ken carson type beat|free more chaos type beat|free playboi carti type beat|gab3 type beat|ken carson type beat|more chaos type beat|playboi carti type beat,artist,16100,2hollis type beat,https://i.ytimg.com/vi/CTc3sOFcieM/maxresdefault.jpg,135,thumbnails\CTc3sOFcieM.jpg
XAleiR7-YHQ,"[FREE] 2hollis Type Beat | Hyperpop Type Beat - ""The Creator""",13233,2hollis type beat|hyperpop type beat|ericdoa type beat|midwxst type beat|free 2hollis type beat|2hollis type beat free|2hollis type beat free for profit|hyperpop type beat free for profit|pop type beat|glaive type beat|sad 2hollis type beat|2hollis dance type beat|club type beat|hyperpop type beat 2024|bladee type beat|brakence type beat|free hyperpop type beat|ecco2k type beat|star boy x 2hollis type beat|glitchcore type beat|star boy type beat|sheepy,sheepy,38400,2hollis type beat,https://i.ytimg.com/vi/XAleiR7-YHQ/maxresdefault.jpg,154,thumbnails\XAleiR7-YHQ.jpg
-Sa7LYK7uWk,[SOLD] A MAJESTIC D34TH FOR HER WITH 2HOLLIS TYPE BEAT,6464,2hollis type beat|free 2hollis type beat|2hollis dance type beat|2hollis|hard type beat|type beat free|star boy type beat|type beat|nate sib type beat|hard dance type beat|nate sib|free nate sib famous type beat|god type beat|free type beat|ecco2k type beat|joalisho|nate sib famous|starboy type beat|bladee type beat|famous type beat|damon r type beat|damon r|gab3 type beat|hyperpop type beat|hardstyle type beat|kimj type beat|the hellp type beat,joalisho,4380,2hollis type beat,https://i.ytimg.com/vi/-Sa7LYK7uWk/maxresdefault.jpg,150,thumbnails\-Sa7LYK7uWk.jpg
YP6pmrqZQoU,"(free!) 2hollis + ok + trauma type beat - ""wings""",30721,1oneam type beat free|2hollis type beat|2hollis type beat free|che type beat|damon r type beat|free 2hollis type beat|glo type beat|hard dance type beat|jeans type beat|jssr type beat|ken carson type beat|nettspend type beat|osamason type beat|osamason type beat free|osamason type beat free for profit|osamason type beat hard|star boy type beat|starboy 2hollis type beat,iledless,1290,2hollis type beat,https://i.ytimg.com/vi/YP6pmrqZQoU/maxresdefault.jpg,95,thumbnails\YP6pmrqZQoU.jpg
